"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 04 04:10:29 UTC 2023","Wed Oct 04 04:10:33 UTC 2023","4246","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Wed Oct 04 04:20:16 UTC 2023","Wed Oct 04 04:20:21 UTC 2023","4650","","22. Individual Onboarding for Interactive Brokers","","","","10. Complete Bank Details",""
"passed","Wed Oct 04 02:42:58 UTC 2023","Wed Oct 04 02:43:17 UTC 2023","19270","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Wed Oct 04 02:50:44 UTC 2023","Wed Oct 04 02:51:06 UTC 2023","22063","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Wed Oct 04 04:10:16 UTC 2023","Wed Oct 04 04:10:26 UTC 2023","9798","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Wed Oct 04 04:17:39 UTC 2023","Wed Oct 04 04:18:00 UTC 2023","20358","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"passed","Wed Oct 04 04:01:27 UTC 2023","Wed Oct 04 04:01:45 UTC 2023","18005","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Wed Oct 04 02:53:07 UTC 2023","Wed Oct 04 02:53:25 UTC 2023","17960","","6. Company Account","","","","1. Validate login credentials",""
"passed","Wed Oct 04 04:15:11 UTC 2023","Wed Oct 04 04:15:24 UTC 2023","12438","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Wed Oct 04 04:29:33 UTC 2023","Wed Oct 04 04:29:35 UTC 2023","2003","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Wed Oct 04 02:56:28 UTC 2023","Wed Oct 04 02:57:10 UTC 2023","41989","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Wed Oct 04 04:29:17 UTC 2023","Wed Oct 04 04:29:33 UTC 2023","15781","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Wed Oct 04 04:12:53 UTC 2023","Wed Oct 04 04:13:03 UTC 2023","10423","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Wed Oct 04 03:11:15 UTC 2023","Wed Oct 04 03:11:17 UTC 2023","2635","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Wed Oct 04 02:32:50 UTC 2023","Wed Oct 04 02:32:53 UTC 2023","2333","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Wed Oct 04 04:15:24 UTC 2023","Wed Oct 04 04:15:48 UTC 2023","24814","","21. Forgot password function","","","","2. Reset password",""
"passed","Wed Oct 04 02:35:02 UTC 2023","Wed Oct 04 02:35:09 UTC 2023","6877","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","7. Review Review Page",""
"passed","Wed Oct 04 02:50:03 UTC 2023","Wed Oct 04 02:50:06 UTC 2023","2523","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Wed Oct 04 04:13:03 UTC 2023","Wed Oct 04 04:13:06 UTC 2023","2616","","20. Admin Portal - Check details","","","","5. Check Investor Panel",""
"passed","Wed Oct 04 03:14:32 UTC 2023","Wed Oct 04 03:14:34 UTC 2023","2158","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Wed Oct 04 04:20:21 UTC 2023","Wed Oct 04 04:20:28 UTC 2023","6417","","22. Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"passed","Wed Oct 04 02:50:06 UTC 2023","Wed Oct 04 02:50:21 UTC 2023","14880","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Wed Oct 04 02:33:21 UTC 2023","Wed Oct 04 02:33:27 UTC 2023","6904","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Wed Oct 04 02:43:18 UTC 2023","Wed Oct 04 02:43:25 UTC 2023","7317","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Wed Oct 04 03:33:09 UTC 2023","Wed Oct 04 03:33:55 UTC 2023","45678","","17.0 Create Test User on Live Portal","","","","3. Subscribe user via Investment Suitability Calculator",""
"passed","Wed Oct 04 02:51:10 UTC 2023","Wed Oct 04 02:51:10 UTC 2023","586","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Wed Oct 04 02:22:28 UTC 2023","Wed Oct 04 02:22:45 UTC 2023","17418","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Wed Oct 04 03:20:58 UTC 2023","Wed Oct 04 03:21:36 UTC 2023","38550","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Wed Oct 04 03:28:48 UTC 2023","Wed Oct 04 03:28:51 UTC 2023","3016","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Wed Oct 04 02:40:18 UTC 2023","Wed Oct 04 02:40:19 UTC 2023","526","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Wed Oct 04 02:21:42 UTC 2023","Wed Oct 04 02:22:17 UTC 2023","35241","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Wed Oct 04 03:06:41 UTC 2023","Wed Oct 04 03:06:42 UTC 2023","455","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Wed Oct 04 02:38:05 UTC 2023","Wed Oct 04 02:38:08 UTC 2023","3147","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Wed Oct 04 02:40:15 UTC 2023","Wed Oct 04 02:40:18 UTC 2023","3625","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Wed Oct 04 04:18:40 UTC 2023","Wed Oct 04 04:18:44 UTC 2023","3888","","22. Individual Onboarding for Interactive Brokers","","","","7.Complete Screen and Tilts",""
"passed","Wed Oct 04 04:12:45 UTC 2023","Wed Oct 04 04:12:52 UTC 2023","6707","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Wed Oct 04 04:09:57 UTC 2023","Wed Oct 04 04:10:16 UTC 2023","19199","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Wed Oct 04 03:20:56 UTC 2023","Wed Oct 04 03:20:58 UTC 2023","1991","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Wed Oct 04 02:53:25 UTC 2023","Wed Oct 04 02:53:35 UTC 2023","10452","","6. Company Account","","","","2. Create a Company Account",""
"passed","Wed Oct 04 02:42:29 UTC 2023","Wed Oct 04 02:42:47 UTC 2023","18335","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Wed Oct 04 03:07:22 UTC 2023","Wed Oct 04 03:07:25 UTC 2023","2858","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Wed Oct 04 03:11:18 UTC 2023","Wed Oct 04 03:11:39 UTC 2023","21622","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Wed Oct 04 02:37:58 UTC 2023","Wed Oct 04 02:38:05 UTC 2023","7667","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"passed","Wed Oct 04 02:22:18 UTC 2023","Wed Oct 04 02:22:18 UTC 2023","108","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","2.Disclaimer Alert is present",""
"passed","Wed Oct 04 03:06:53 UTC 2023","Wed Oct 04 03:07:22 UTC 2023","28171","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Wed Oct 04 02:45:57 UTC 2023","Wed Oct 04 02:46:03 UTC 2023","5921","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","9. Complete Bank Details",""
"passed","Wed Oct 04 03:40:37 UTC 2023","Wed Oct 04 03:41:12 UTC 2023","34779","","17.1 Create Test User on Live Portal","","","","5. Create a new user for Walk The World",""
"passed","Wed Oct 04 04:13:06 UTC 2023","Wed Oct 04 04:13:07 UTC 2023","1512","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
